( common_voice_ca_17367526 "Ai, ai!")
( common_voice_ca_17367555 "Què deies?")
( common_voice_ca_17367708 "Els elements d'attrezzo i vestuari que afecten la caracterització i la seva presència en el disseny.")
( common_voice_ca_17367797 "L'autonomia d'emmagatzematge de purins de l'explotació és de cinc mesos aproximadament.")
( common_voice_ca_17367867 "I llavors, què?")
( common_voice_ca_17367908 "Tots?")
( common_voice_ca_17367970 "No se sentia res.")
( common_voice_ca_17368038 "Atenció!")
( common_voice_ca_17368391 "Senzill.")
( common_voice_ca_17368405 "El límit a partir d'aquí és entre els termes de Soriguera i Llavorsí.")
( common_voice_ca_17368460 "Elabora propostes d'accés, avaluació i tria documental dels processos electrònics del Departament.")
( common_voice_ca_17368477 "La zona de caça controlada té una superfície de vint-i-dues mil nou-centes quaranta-vuit hectàrees, arran de l'actualització cartogràfica dels límits.")
( common_voice_ca_17368510 "El que disposa l'apartat u no és aplicable en els casos en què hi ha un procediment judicial concursal.")
( common_voice_ca_17368527 "Vaig fer un mig somriure.")
( common_voice_ca_17368559 "La setmana en la qual se celebri la Fira de la Candelera no hi haurà Encants.")
( common_voice_ca_17368601 "Els drets i obligacions derivades del present Conveni no podran ser cedits.")
( common_voice_ca_17368630 "Els centres de formació de persones adultes de titularitat pública que no depenguin del Departament d'Ensenyament.")
( common_voice_ca_17368658 "El sistema estructural dels annexos és l'existent de murs de seixanta centímetres de pedra i forjats unidireccionals.")
( common_voice_ca_17368687 "No hi ha temps.")
( common_voice_ca_17368692 "En aplegar el bon temps, sortien dels gerros on vivien les tiges desmaiades de l'agret.")
( common_voice_ca_17368694 "Garanties jurisdiccionals.")
( common_voice_ca_17368702 "En aquest punt, seguirem carrer amunt, en direcció nord, fins a l'avinguda de Roses.")
( common_voice_ca_17368723 "Per Santa Àgueda, planta alfàbega.")
( common_voice_ca_17368887 "Se'n va.")
( common_voice_ca_17368896 "Era l'arròs preferit del meu germà Pere.")
( common_voice_ca_17368920 "A bones ganes de ballar, poc so és menester.")
( common_voice_ca_17368940 "L'ús del mot valencianisme és un gran pas en aquesta direcció.")
( common_voice_ca_17368983 "Què voleu?")
( common_voice_ca_17369018 "Els solars edificables al carrer Joan d'Àustria formen una llista tancada.")
( common_voice_ca_17369167 "On vas?")
( common_voice_ca_17369185 "Més val sol que mal acompanyat.")
( common_voice_ca_17369200 "Suposo que sí.")
( common_voice_ca_17369216 "Com ho fem?")
( common_voice_ca_17369232 "Això és el que no es revela d'antuvi.")
( common_voice_ca_17369245 "I fer-les complir, perquè algunes d'aquestes obligacions, de fet, ja existeixen.")
( common_voice_ca_17369293 "Té una superfície útil de vuitanta-cinc metres amb setanta-dos decímetres quadrats.")
( common_voice_ca_17370195 "Qui no té més que un ull, se'n val per dos.")
( common_voice_ca_17370199 "A voltes passaven setmanes senceres sense que ell li parlara.")
( common_voice_ca_17370204 "Publicar les llistes definitives d'admesos que figuren en l'annex u d'aquesta resolució.")
( common_voice_ca_17370206 "A dos quarts de quatre, jo ja estava despert.")
( common_voice_ca_17371254 "I tant!")
( common_voice_ca_17371274 "Tot.")
( common_voice_ca_17371344 "També poden pactar qualsevol altra garantia en compliment de les obligacions del cessionari.")
( common_voice_ca_17371450 "Les cadires seran de tipus individual.")
( common_voice_ca_17371451 "La plaça no ocupada per l'aspirant que no presente la documentació quedarà vacant.")
( common_voice_ca_17371452 "La taula adjunta indica ja el resultat d'aquesta multiplicació.")
( common_voice_ca_17371490 "El projecte té com a objectiu l'atenció de població en compliment de pena privativa de llibertat.")
( common_voice_ca_17371493 "Fica't roba de cotó i que cobrisca tota la superfície del cos.")
( common_voice_ca_17371525 "Aquest conjunt d'indicadors dóna lloc al sistema d'informació sobre drogodependències.")
( common_voice_ca_17371534 "Aquesta és la gran diferència.")
( common_voice_ca_17371543 "El fet que hi hagi requeriment previ.")
( common_voice_ca_17371547 "En el cas que no s'emeta resolució en el termini de quinze dies, el silenci tindrà efecte estimatori.")
( common_voice_ca_17372020 "Això ja ho sé.")
( common_voice_ca_17372696 "I saps què?")
( common_voice_ca_17373679 "Sí, sí, sí.")
( common_voice_ca_17373736 "Fora!")
( common_voice_ca_17373762 "Entre elles figurarà el del butlletí oficial en què s'ha de publicar l'edicte.")
( common_voice_ca_17373939 "Persona jurídica: que tinc la capacitat d'obrar suficient per participar en aquesta licitació.")
( common_voice_ca_17374050 "El tribunal queda facultat per a aplicar, interpretar i suplir, si és el cas, les precedents bases.")
( common_voice_ca_17374135 "Hemopaties que a judici de l'òrgan qualificador limitin l'exercici de la funció policial.")
( common_voice_ca_17374144 "Que el negociat corresponent confeccione l'edicte pertinent i es procedisca a publicar-lo.")
( common_voice_ca_17374152 "La canalització naix des d'un eix principal per a posteriorment dividir-se en diferents ramals de menor diàmetre.")
( common_voice_ca_17374155 "Encara no.")
( common_voice_ca_17374164 "Mai.")
( common_voice_ca_17374184 "Criteris o indicadors que permeten conèixer el grau de realització dels objectius fixats.")
( common_voice_ca_17374191 "La longitud de la canonada de desaigüe serà de huit-cents huitanta-huit metres i s'executarà amb PVC corrugat.")
( common_voice_ca_17374213 "En cas de nova coincidència, es proclamarà guanyador l'aspirant que major puntuació obtingui en la fase tres.")
( common_voice_ca_17374249 "Així mateix, promouran un clima laboral satisfactori i respectuós amb la igualtat i la salut.")
( common_voice_ca_17374334 "Com es deia?")
( common_voice_ca_17374461 "Al pobre, el sol se'l menja.")
( common_voice_ca_17374577 "L'últim collar que s'arreplega és el que hi ha al centre de la plaça, damunt de l'acabament metàl·lic de la font.")
